accession	run_id
SAMEA2580000	ERR525783
SAMEA2579996	ERR525779
SAMEA2579992	ERR525775
SAMEA2579988	ERR525771
SAMEA2579984	ERR525767
SAMEA2579980	ERR525763
SAMEA2579976	ERR525759
SAMEA2579974	ERR525757
SAMEA2579970	ERR525753
SAMEA2579968	ERR525751
SAMEA2579963	ERR525746
SAMEA2579958	ERR525741
SAMEA2579954	ERR525737
SAMEA2579950	ERR525733
SAMEA2579946	ERR525729
SAMEA2579942	ERR525725
SAMEA2579937	ERR525720
SAMEA2579933	ERR525716
SAMEA2579929	ERR525712
SAMEA2579925	ERR525708
SAMEA2579923	ERR525706
SAMEA2579916	ERR525699
SAMEA2579914	ERR525697
SAMEA2579909	ERR525692
SAMEA4545341	ERR1728183
SAMEA4545340	ERR1727314
SAMEA4545401	ERR1727751
SAMEA4545400	ERR1727370
SAMEA4545288	ERR1728199
SAMEA4545289	ERR1727695
SAMEA4545380	ERR1728007
SAMEA4545381	ERR1727661
SAMEA4545297	ERR1728093
SAMEA4545327	ERR1727815
SAMEA4545326	ERR1727775
SAMEA4545430	ERR1728233
SAMEA4545431	ERR1727995
SAMEA4545389	ERR1728241
SAMEA4545388	ERR1728097
SAMEA4545312	ERR1728053
SAMEA4545313	ERR1728023
SAMEA4545360	ERR1728269
SAMEA4545361	ERR1727617
SAMEA4545365	ERR1728360
SAMEA4545364	ERR1727959
SAMEA4545281	ERR1728329
SAMEA4545280	ERR1727666
SAMEA4545362	ERR1727912
SAMEA4545363	ERR1727440
SAMEA4545372	ERR1727561
SAMEA4545373	ERR1727557
SAMEA4545284	ERR1728400
SAMEA4545285	ERR1727513
SAMEA4545394	ERR1727683
SAMEA4545395	ERR1727798
SAMEA4545406	ERR1727823
SAMEA4545407	ERR1727577
SAMEA4545446	ERR1728187
SAMEA4545282	ERR1727847
SAMEA4545447	ERR1727715
SAMEA4545283	ERR1727601
SAMEA4545420	ERR1727963
SAMEA4545421	ERR1727386
SAMEA4545309	ERR1728404
SAMEA4545308	ERR1727641
SAMEA4545397	ERR1727851
SAMEA4545396	ERR1727731
SAMEA4545434	ERR1727743
SAMEA4545435	ERR1727326
SAMEA4545423	ERR1728372
SAMEA4545422	ERR1727453
SAMEA4545450	ERR1727935
SAMEA4545451	ERR1727887
SAMEA4545333	ERR1728293
SAMEA4545332	ERR1728265
SAMEA4545357	ERR1727667
SAMEA4545356	ERR1728396
SAMEA4545303	ERR1728191
SAMEA4545302	ERR1727939
SAMEA4545525	ERR1728229
SAMEA4545503	ERR1728045
SAMEA4545528	ERR1728356
SAMEA4545551	ERR1728121
SAMEA4545523	ERR1728060
SAMEA4545526	ERR1727794
SAMEA4545549	ERR1727682
SAMEA4545541	ERR1727528
SAMEA4545548	ERR1727481
SAMEA4545484	ERR1728388
SAMEA4545480	ERR1728380
SAMEA4545501	ERR1728376
SAMEA4545453	ERR1728368
SAMEA4545391	ERR1728349
SAMEA4545560	ERR1728345
SAMEA4545476	ERR1728341
SAMEA4545495	ERR1728333
SAMEA4545500	ERR1728325
SAMEA4545455	ERR1728321
SAMEA4545533	ERR1728317
SAMEA4545522	ERR1728313
SAMEA4545562	ERR1728301
SAMEA4545390	ERR1728289
SAMEA4545483	ERR1728285
SAMEA4545458	ERR1728281
SAMEA4545478	ERR1728277
SAMEA4545487	ERR1728257
SAMEA4545498	ERR1728227
SAMEA4545532	ERR1728219
SAMEA4545464	ERR1728215
SAMEA4545469	ERR1728175
SAMEA4545555	ERR1728166
SAMEA4545512	ERR1728162
SAMEA4545492	ERR1728149
SAMEA4545475	ERR1728141
SAMEA4545343	ERR1728129
SAMEA4545542	ERR1728113
SAMEA4545477	ERR1728081
SAMEA4545534	ERR1728043
SAMEA4545519	ERR1728039
SAMEA4545547	ERR1728011
SAMEA4545486	ERR1728003
SAMEA4545558	ERR1727991
SAMEA4545459	ERR1727979
SAMEA4545545	ERR1727947
SAMEA4545493	ERR1727943
SAMEA4545561	ERR1727927
SAMEA4545531	ERR1727903
SAMEA4545497	ERR1727895
SAMEA4545481	ERR1727863
SAMEA4545550	ERR1727859
SAMEA4545472	ERR1727835
SAMEA4545490	ERR1727819
SAMEA4545537	ERR1727811
SAMEA4545471	ERR1727802
SAMEA4545524	ERR1727787
SAMEA4545536	ERR1727783
SAMEA4545454	ERR1727771
SAMEA4545559	ERR1727767
SAMEA4545462	ERR1727755
SAMEA4545456	ERR1727747
SAMEA4545460	ERR1727739
SAMEA4545342	ERR1727723
SAMEA4545461	ERR1727707
SAMEA4545488	ERR1727703
SAMEA4545491	ERR1727679
SAMEA4545539	ERR1727671
SAMEA4545466	ERR1727657
SAMEA4545496	ERR1727653
SAMEA4545482	ERR1727633
SAMEA4545479	ERR1727625
SAMEA4545511	ERR1727621
SAMEA4545535	ERR1727613
SAMEA4545520	ERR1727609
SAMEA4545546	ERR1727597
SAMEA4545468	ERR1727589
